id,judul,daerah,pulau,kategori,tokoh,ringkasan,teks,nilai_moral,kata_kunci,sumber,lisensi
CR-011,La Galigo: Sawerigading,Sulawesi Selatan,Sulawesi,Epos,Sawerigading; We Cudai; Batara Guru,Bagian dari epos Bugis La Galigo yang menceritakan perjalanan Sawerigading menjemput jodohnya dan menata tatanan dunia menurut adat dan titah dewa.,"Dalam galigo, dunia manusia dan dewata saling berkelindan. 
Sawerigading, pangeran kuat dan perantau ulung, mendapat isyarat tentang jodohnya, We Cudai. 
Ia berlayar menembus badai, menaklukkan raksasa laut, dan menyeberangi negeri-negeri untuk meminangnya. 
Perkawinan mereka bukan sekadar kisah asmara, melainkan pengikat tatanan sosial: 
adat ditata, sumpah ditegakkan, dan jabatan dibagi sesuai petuah Batara Guru. 
Epos ini menegaskan kehormatan, kesetiaan pada sumpah, dan keluhuran budi sebagai fondasi masyarakat Bugis.",Kehormatan; Menepati sumpah; Kepemimpinan adat,la galigo;epos bugis;sawerigading;adat,Tradisi lisan Bugis,CC0 (retelling original)
CR-012,Toar dan Lumimuut,Sulawesi Utara (Minahasa),Sulawesi,Mitos Asal-usul,Toar; Lumimuut; Karema,Mitos Minahasa tentang leluhur Toar dan Lumimuut yang menata persekutuan Minahasa dan mengajarkan kerja sama serta pembagian wilayah.,"Karema, perempuan sakti, membimbing Lumimuut hingga bertemu Toar. 
Keduanya menjadi pasangan leluhur yang menurunkan suku-suku Minahasa. 
Mereka mengajarkan membuka ladang bersama, membagi wilayah adil, dan menyelesaikan sengketa melalui musyawarah. 
Nama-nama tempat di Minahasa sering dikaitkan dengan perjalanan mereka. 
Mitos ini menguatkan identitas bersama dan menegaskan pentingnya kerja sama untuk menghadapi alam yang keras.",Gotong royong; Musyawarah; Identitas kolektif,minahasa;leluhur;asal-usul;gotong royong,Tradisi lisan Minahasa,CC0 (retelling original)
CR-013,Batu Menangis,Kalimantan Barat,Kalimantan,Legenda,Gadis; Ibu; Penduduk Desa,"Gadis cantik malu mengakui ibunya yang miskin. Kutukan membuat tubuhnya membatu, air matanya terus mengalir menjadi sumber air.","Di lereng perbukitan Kalimantan Barat, seorang gadis sering diajak ibunya ke pasar. 
Setelah beranjak remaja dan merasa cantik, ia malu berjalan dengan ibunya yang berpakaian tambal. 
Ketika ditanya orang, ia mengaku sang ibu adalah pembantunya. 
Hati sang ibu hancur; ia memohon agar anaknya diberi pelajaran. 
Tanah bergetar, kaki sang gadis berat seperti batu. 
Dari telapak kakinya menjalar dingin hingga ke dada; ia menjerit, meminta ampun. 
Namun tubuhnya telah membeku menjadi batu, sementara air matanya tetap menetes, membentuk mata air kecil. 
Warga menamai tempat itu Batu Menangis sebagai peringatan agar anak tidak malu pada orang tua.",Hormati orang tua; Rendah hati; Jujur,kutukan;batu;air mata;orang tua,Tradisi lisan Dayak/Melayu Kalbar,CC0 (retelling original)
CR-014,Asal-usul Bukit Kelam,Kalimantan Barat (Sintang),Kalimantan,Legenda,Bujang Beji; Temenggung Marubai; Putri,Dua tokoh sakti bersaing meminang putri. Batu raksasa yang diangkat untuk membendung sungai terjatuh dan menjadi Bukit Kelam.,"Bujang Beji dan Temenggung Marubai sama-sama sakti. 
Mereka bersaing meminang putri cantik dari hulu sungai Kapuas. 
Bujang Beji berencana membendung sungai agar perahu Marubai tak bisa lewat. 
Ia memanggul batu raksasa dari gunung jauh. 
Namun ayam berkokok sebelum waktunya; Bujang Beji kaget, kehilangan kesaktian sejenak, batu terlepas dan jatuh. 
Batu itu kini dikenal sebagai Bukit Kelam di Sintang—menjadi saksi bahwa ambisi yang menghalangi orang lain akan berbalik menghalangi diri sendiri.",Jangan dengki; Berlomba secara adil; Kendalikan ambisi,bukit kelam;sintang;kapuas;bujang beji,Tradisi lisan Dayak,CC0 (retelling original)
CR-015,Nenek Luhu,Maluku (Seram),Maluku,Legenda,Nenek Luhu; Nelayan; Ikan Luhu,Seorang nenek miskin berbagi makanan pada orang lapar dan mendapat rezeki dari laut. Sikap hemat dan berbagi menjadi pesan utama.,"Nenek Luhu tinggal di tepi pantai dengan dapur kecil yang selalu berasap. 
Meski miskin, ia tak segan berbagi papeda pada siapa pun yang singgah. 
Suatu musim paceklik, nelayan tak mendapatkan ikan. 
Nenek Luhu menanak sagu terakhirnya dan membaginya pada seorang musafir. 
Keesokan hari, laut tiba-tiba penuh ikan kecil yang kini disebut ikan luhu. 
Desa kembali hidup, dan orang-orang belajar bahwa kemurahan hati menumbuhkan rezeki yang tak disangka. 
Tradisi berbagi hasil laut setiap panen pun lahir dari kisah ini.",Derma; Syukur; Hidup hemat,seram;ikan luhu;papeda;dermawan,Tradisi lisan Maluku,CC0 (retelling original)
CR-016,Asal-usul Burung Cenderawasih,Papua,Papua,Legenda Asal-usul,Gadis; Burung; Pemburu,"Seorang gadis yang mencintai hutan memilih menyatu dengan alam dan menjelma menjadi burung berwarna mempesona, cenderawasih.","Di pedalaman Papua, seorang gadis kerap menari mengikuti desau angin dan cahaya pagi. 
Ia menolak lamaran para pemburu yang hanya melihat hutan sebagai tempat mengambil. 
Ketika kampung hendak menebang hutan keramat, gadis itu memohon agar pepohonan dibiarkan hidup. 
Ia menari terakhir kalinya di bawah sinar matahari; bulu-bulu cahaya menyelimuti tubuhnya hingga ia berubah menjadi burung dengan ekor keemasan. 
Burung itu terbang di atas kanopi, mengingatkan manusia bahwa hutan bukan sekadar sumber, melainkan rumah yang harus dijaga. 
Sejak itu, orang menyebutnya cenderawasih, lambang keindahan dan kelestarian.",Cinta alam; Pelestarian; Menghormati kehidupan,papua;cenderawasih;hutan;pelestarian,Tradisi lisan Papua,CC0 (retelling original)
CR-017,Ciung Wanara,Jawa Barat,Jawa,Legenda Sejarah,Ciung Wanara; Prabu Barmawijaya; Dewi Naganingrum,"Pangeran yang dibuang sejak bayi kembali menuntut keadilan dan menyatukan kerajaan, menekankan kebijaksanaan mengatasi fitnah istana.","Karena intrik istana, bayi Ciung Wanara dihanyutkan. 
Ia dirawat rakyat jelata hingga tumbuh gagah dan cerdas. 
Ketika dewasa, ia kembali ke kerajaan Galuh, menyingkap fitnah yang menimpa ibunya, dan menantang para pejabat culas dengan kebijaksanaan, bukan dendam. 
Ia memulihkan marwah kerajaan melalui hukum yang adil dan berpihak pada rakyat. 
Cerita ini menekankan bahwa darah bangsawan bukan alasan untuk berkuasa; yang utama adalah budi pekerti dan keberanian menegakkan kebenaran.",Keadilan; Anti fitnah; Rendah hati,galuh;istana;fitnah;keadilan,Tradisi lisan Sunda,CC0 (retelling original)
CR-018,Watu Ulo,Jawa Timur (Jember),Jawa,Legenda,Ular Raksasa; Warga Pesisir,"Ular raksasa yang membantu warga meminta imbalan berlebihan. Saat ditolak, tubuhnya membatu memanjang di pantai, dikenal sebagai Watu Ulo.","Di pesisir Jember, seekor ular raksasa muncul dari laut. 
Ia menawarkan bantuan mengusir hama dengan syarat rakyat menyediakan sesaji melimpah tiap panen. 
Pada awalnya warga setuju karena panen berlimpah, namun lama-lama tuntutan sang ular menjadi tamak. 
Saat permintaan ditolak, ia mengamuk dan menggulung tubuhnya ke darat. 
Petir menyambar, tubuhnya kaku dan membatu, memanjang seperti sisik-sisik batu di tepi pantai. 
Orang menyebutnya Watu Ulo—batu ular—sebagai peringatan agar manusia tidak tunduk pada keserakahan, dan agar perjanjian selalu dijaga keseimbangannya.",Menolak keserakahan; Keseimbangan perjanjian; Keberanian warga,jember;pesisir;ular raksasa;batu,Tradisi lisan Jawa Timur,CC0 (retelling original)
CR-019,Si Pahit Lidah,Sumatera Selatan,Sumatra,Legenda,Serunting Sakti (Si Pahit Lidah); Puyang,Seorang sakti yang ucapannya jadi kutukan belajar bahwa amarah membawa petaka. Banyak batu-batu aneh diyakini bekas makhluk yang terkena kutukannya.,"Serunting adalah pemuda sakti yang terluka hatinya karena perselisihan. 
Ia berikrar setiap kata yang keluar dari mulutnya menjadi nyata—pahit lidah. 
Saat marah, ia mengutuk orang dan binatang berubah batu. 
Lama-lama ia menyesal melihat desa menjadi sepi. 
Serunting bertapa dan berjanji menggunakan ucapannya untuk melindungi, bukan melukai. 
Legenda ini menjelaskan asal-usul batu-batu berwujud aneh di daerah Musi Rawas dan sekitarnya, sambil menasihati agar manusia menjaga lisan.",Menjaga ucapan; Mengendalikan emosi; Menebus kesalahan,musi rawas;kata-kata;kutukan;batu,Tradisi lisan Sumatera Selatan,CC0 (retelling original)
CR-020,Putri Tujuh,Riau (Bengkalis),Sumatra,Legenda,Tujuh Putri; Penjaga Istana; Penyerbu,"Tujuh putri bersembunyi dari serbuan musuh di sebuah gua. Mereka tak pernah kembali, dan tempat itu dipercaya menyimpan jejak mereka.","Di pesisir Riau, kerajaan kecil diserbu perompak. 
Tujuh putri raja diungsikan ke hutan bakau dan bersembunyi di gua sempit. 
Penjaga menutup mulut gua dengan batu sementara mereka menunggu aman. 
Hari berganti, serbuan reda, namun saat batu digeser, para putri tak ditemukan—konon mereka telah menyatu dengan gua demi menjaga kehormatan. 
Warga menamai tempat itu Gua Putri Tujuh dan setiap tahun datang berziarah, mengingatkan bahwa kehormatan, keberanian, dan pengorbanan adalah harga diri sebuah negeri.",Keberanian; Kehormatan; Pengorbanan,bengkalis;gua;perompak;putri,Tradisi lisan Melayu Riau,CC0 (retelling original)
CR-021,Roro Jonggrang (Candi Seribu),Jawa Tengah (Prambanan),Jawa,Legenda,Roro Jonggrang; Bandung Bondowoso; Prabu Boko,Bandung Bondowoso diminta membangun seribu candi semalam untuk meminang Roro Jonggrang. Tipu daya membuatnya gagal; Bandung mengutuk sang putri menjadi arca.,"Bandung Bondowoso menaklukkan kerajaan Prabu Boko dan terpikat pada Roro Jonggrang. 
Sang putri menunda pinangan dengan syarat mustahil: membangun seribu candi dalam satu malam. 
Dengan bantuan makhluk halus, Bandung hampir berhasil. 
Roro Jonggrang pun menipu dengan membangunkan ayam dan membakar jerami hingga fajar seolah tiba. 
Bandung murka, menghentikan pekerjaan pada candi ke-999, lalu mengutuk Roro Jonggrang menjadi arca. 
Kompleks candi itu kini dikenang sebagai Candi Prambanan—kisah tentang akibat tipu daya dan amarah.",Kejujuran; Konsekuensi tipu daya; Kendali emosi,prambanan;seribu candi;bandung bondowoso;arca,Tradisi lisan Jawa,CC0 (retelling original)
CR-022,Lutung Kasarung,Jawa Barat,Jawa,Legenda,Purbasari; Lutung Kasarung; Purbararang,"Purbasari difitnah kakaknya. Seekor lutung sakti menolongnya dan berubah menjadi pangeran, memulihkan keadilan.","Putri Purbasari diusir karena fitnah kakaknya, Purbararang. 
Di hutan, ia bersahabat dengan lutung yang bijak dan sakti. 
Lutung menolong Purbasari menandingi ujian: membuka ladang, memanggil hewan, hingga memunculkan telaga. 
Saat kebenaran terungkap, lutung menjelma pangeran tampan, Lutung Kasarung. 
Purbasari kembali ke istana dan memerintah dengan adil, sementara Purbararang belajar menahan iri hati.",Kerendahan hati; Kejujuran mengalahkan fitnah; Anti iri dengki,sunda;fitnah;lutung;pangeran,Tradisi lisan Sunda,CC0 (retelling original)
CR-023,Cindelaras,Jawa (Jenggala),Jawa,Legenda,Cindelaras; Raja Jenggala; Ibu Raden Putri,"Cindelaras mengetahui asal-usulnya melalui ayam jago sakti. Ia bertemu raja, menang sabung ayam, dan mengungkap fitnah yang menimpa ibunya.","Di hutan, seorang ibu membesarkan Cindelaras dalam pengasingan. 
Seekor ayam jago milik Cindelaras berkokok menyebut nama pemiliknya dan asal-usulnya sebagai putra raja. 
Kabar ayam sakti sampai ke istana; Cindelaras diundang sabung ayam dan selalu menang. 
Raja curiga dan memanggilnya. Melalui cincin dan cerita, rahasia terbuka: ibu Cindelaras difitnah. 
Raja menyesal, memulihkan kehormatan, dan mengangkat Cindelaras sebagai penerus.",Kebenaran pada akhirnya menang; Menolak fitnah; Kebijaksanaan penguasa,sabung ayam;jenggala;cincin;putra raja,Tradisi lisan Jawa,CC0 (retelling original)
CR-024,Sura dan Baya (Asal-usul Surabaya),Jawa Timur (Surabaya),Jawa,Legenda Asal-usul,Ikan Sura; Buaya,Ikan hiu dan buaya berebut daerah kekuasaan. Perkelahian mereka melahirkan nama Surabaya.,"Di muara sungai, hiu Sura dan buaya Baya berebut wilayah berburu. 
Mereka berjanji membagi area: Sura di laut, Baya di sungai. 
Saat kelaparan, Sura melanggar janji dan masuk ke sungai. 
Perkelahian hebat pun terjadi; air memerah dan tepi sungai hancur. 
Tempat itu kemudian disebut Sura-baya, mengingatkan agar janji dihormati.",Menepati janji; Penyelesaian sengketa; Batas wilayah,surabaya;hiu;buaya;muara,Tradisi lisan Jawa Timur,CC0 (retelling original)
CR-025,Asal-usul Banyuwangi,Jawa Timur (Banyuwangi),Jawa,Legenda,Sri Tanjung; Sidapaksa,"Sri Tanjung difitnah selingkuh. Untuk membuktikan kesucian, ia mencebur ke sungai yang lalu beraroma harum, sehingga tempat itu dinamai Banyuwangi.","Sidapaksa difitnah atas kesetiaan istrinya, Sri Tanjung. 
Dalam putus asa, Sri Tanjung memilih mencebur ke sungai sambil bersumpah bahwa air akan menjadi harum jika ia suci. 
Air pun semerbak wangi. Sidapaksa menyesal dan membersihkan nama istrinya. 
Sungai dan wilayah itu disebut Banyuwangi—air yang wangi—agar manusia tidak gegabah menuduh.",Jangan mudah menuduh; Kesucian hati; Penyesalan dan maaf,banyuwangi;sri tanjung;fitnah;air wangi,Tradisi lisan Jawa Timur,CC0 (retelling original)
CR-026,Telaga Warna (Dieng),Jawa Tengah (Dieng),Jawa,Legenda Asal-usul,Raja; Permaisuri; Putri,"Air mata putri yang tersinggung membuat permata jatuh ke telaga, memantulkan warna-warni hingga disebut Telaga Warna.","Raja dan permaisuri lama menanti keturunan. Ketika putri lahir, mereka menuruti semua keinginannya. 
Pada ulang tahun, putri menolak hadiah sederhana rakyat dan melempar kalung permata ke telaga. 
Permata pecah dan memantulkan warna-warni di air. 
Putri menyesal dan belajar menghargai ketulusan. 
Sejak itu telaga berkilau hijau, kuning, dan biru—dikenal sebagai Telaga Warna.",Rendah hati; Menghargai pemberian; Menahan nafsu,dieng;telaga warna;permata;putri manja,Tradisi lisan Jawa Tengah,CC0 (retelling original)
CR-027,Batu Gantung (Parapat),Sumatera Utara (Parapat),Sumatra,Legenda,Gadis; Ayah; Ibu,Gadis yang menolak mengakui orang tuanya berubah menjadi batu yang menggantung di tebing tepi Danau Toba.,"Dalam perjalanan, seorang gadis malu pada orang tuanya yang sederhana. 
Ia menolak berjalan bersama mereka dan mengaku bukan anak mereka. 
Tanah retak, tubuhnya ringan lalu membatu menggantung di tebing. 
Batu itu dilihat pelancong di Parapat sebagai peringatan agar anak menghormati orang tua.",Hormati orang tua; Jangan malu asal-usul; Kejujuran,parapat;batu gantung;danau toba;orang tua,Tradisi lisan Batak,CC0 (retelling original)
CR-028,Asal-usul Danau Sentani,Papua (Jayapura),Papua,Legenda Asal-usul,Tetua; Nelayan; Roh Penjaga,Gunung retak setelah pantangan adat dilanggar; air memenuhi lembah menjadi Danau Sentani.,"Tetua adat melarang warga menebang pohon keramat di punggung gunung. 
Saat larangan dilanggar, tanah bergemuruh dan retakan besar muncul. 
Mata air memancar, menenggelamkan lembah. 
Lembah itu menjadi Danau Sentani, dan masyarakat berjanji menjaga hutan di sekelilingnya.",Patuh adat; Jaga hutan; Dampak pelanggaran,sentani;papua;hutan keramat;adat,Tradisi lisan Sentani,CC0 (retelling original)
